County/ Sub-County,Conventional Households,Earth/ Sand,Dung,"Wood
planks/
Shingles/
Timber","Palm/
Bamboo",Parquet or polished wood,Vinyl or asphal tstrips,Ceramic tiles,"Concrete/
Cement/Terrazo","Wall to wall
Carpet","Not
Stated"
MOYALE,17591,45.2,3.7,0.2,0.1,0.1,0,2.5,47.5,0.7,0
NORTH HORR,9601,96.2,0.8,0.1,0,0,0,0.4,1.9,0.1,0.4
SOLOLO,7162,59.8,10.6,0.2,0.1,0.1,0,0.9,28.1,0.2,0
ISIOLO,53217,61.9,1.1,0.6,0.4,0.2,0.2,5.2,29.3,1,0
GARBATULLA,17047,84.6,1.5,0.6,1.2,0.5,0.4,1.6,9,0.5,0
ISIOLO,27612,38.5,1.1,0.8,0.1,0.1,0.1,9,48.8,1.5,0
MERTI,8558,92,0.5,0.1,0,0,-,0.4,6.6,0.3,-
MERU,423931,44,1.9,1.3,0.1,0.3,0.1,5.9,45,1.4,0
BUURI EAST,23737,35.4,1.7,0.2,0,0.1,0.1,7.5,53.1,1.8,0
BUURI WEST,27905,38.4,0.8,0.3,0,0.1,0,4.1,53.2,3,0
IGEMBE CENTRAL,51848,60.3,0.9,4.9,0,0.3,0.1,3.5,28.6,1.3,0
IGEMBE NORTH,38716,62,1,1.8,0.3,0.3,0.1,3.1,29.5,1.8,0
IGEMBE SOUTH,43222,47.3,0.4,1.8,0.1,0.7,0.1,5.2,43,1.4,0.1
IMENTI NORTH,57556,21.2,0.6,0.5,0,0.1,0.1,12.7,62.8,2.1,0
IMENTI SOUTH,63954,33.7,0.5,0.4,0,0.1,0,7.1,57.5,0.7,0
MERU CENTRAL,39498,39,0.7,0.1,0,0.3,0.1,6.4,52.6,0.7,0
TIGANIA CENTRAL,24983,59.9,1,0.7,0,0.1,0,2.7,34.7,0.8,0
TIGANIA EAST,16791,61.1,6.4,0.4,0.1,0.3,0,2.8,28.3,0.5,0.1
TIGANIA WEST,35402,47.9,12.3,1.6,0.1,0.3,0.1,4.1,32.4,1.2,0
MERU NATIONAL PARK,46,-,-,-,-,-,-,6.5,93.5,-,-
MT. KENYA FOREST,273,88.3,-,2.2,-,-,-,0.4,9.2,-,-
THARAKA-NITHI,109450,50.9,0.6,0.3,0,0.1,0.1,4.2,43,0.6,0
IGAMBANG'OMBE,14383,66.5,0.5,0.1,-,0.1,0,1.2,31.2,0.4,0
MAARA,34779,39.6,0.8,0.6,0,0.1,0.3,5.4,52,1.1,0
MERU SOUTH,28211,33.3,0.5,0.3,0,0,0,7.5,57.6,0.7,0
THARAKA NORTH,13403,76.8,0.6,0.1,0.1,0.2,0.1,1,21,0.1,0.1
THARAKA SOUTH,18603,68,0.7,0.1,0,0.1,0,1.8,29.1,0.1,0
MT. KENYA FOREST,71,14.1,-,4.2,-,-,-,-,81.7,-,-
EMBU,182427,39.5,0.8,0.1,0,0.1,0.1,7.6,50.9,0.9,0
EMBU EAST,39586,38.3,2.7,0.1,0,0.2,0,6.4,51.3,0.9,-
EMBU NORTH,24294,39.7,0,0.1,0,0,0.2,8.1,51,0.8,0
EMBU WEST,43126,23.5,0.3,0.1,0,0,0,13.8,60.7,1.5,0
MBEERE SOUTH,45924,48,0.6,0,0,0,0,5,45.6,0.7,0
MBEERE NORTH,29483,51.3,0.3,0.1,0,0,0,3.8,44.1,0.3,0
MT. KENYA FOREST,14,7.1,-,-,-,-,-,-,92.9,-,-
KITUI,261814,52.1,0.5,0.2,0,0.2,0,4.4,42.1,0.4,0
IKUTHA,16579,70.6,0.7,0.1,0.1,0.1,0,1.1,27.2,0.2,0
KATULANI,12166,47.5,0.6,0.1,0.1,0.5,0.1,4.1,46.9,0.4,-
KISASI,10860,50,0.7,0,0,0.2,0,2,46.7,0.4,0
KITUI CENTRAL,29026,27.1,0.3,0.2,0,0.4,0.1,11.8,59.4,0.7,0
KITUI WEST,17465,34.3,0.3,0.1,0,0,0,6.9,57.5,0.8,-
KYUSO,15969,67.1,0.4,0.1,0,0.1,-,1.7,30.4,0.2,0
LOWER YATTA,15021,56.5,1.3,0.5,0,0.2,0,2.5,38.3,0.7,0
MATINYANI,11497,40,0.5,0,0.1,0.1,0.1,5.5,53.5,0.2,-
MIGWANI,18843,37,0.2,0,0,0,0,6.7,55.6,0.3,0
MUMONI,6451,63.9,0.2,0.4,0,0.2,0,2.2,32.8,0.2,0
MUTITU,11490,75.7,1.5,0.7,0,0,0,1.1,20.6,0.1,0.1
MUTITU NORTH,4929,62.9,0.8,0.1,0,0.5,0.1,2.1,33.2,0.2,0
MUTOMO,23034,67.7,0.6,0.2,0.1,0,0,1.5,29.7,0.2,0
MWINGI CENTRAL,26745,41.3,0.2,0.1,0,0.3,0.1,6.5,50.5,0.9,0
MWINGI EAST,18725,68.4,0.6,0.2,0.1,0.3,0.1,1.8,28.5,0.1,0
NZAMBANI,11276,43.2,0.2,0.1,0.1,0.2,0,5.1,51,0.2,-
THAGICU,3289,73.5,1,0.4,-,0,0,0.7,24.4,0,-
TSEIKURU,8449,73.1,0.6,0.2,0.1,0,0,1.8,23.8,0.3,-
MACHAKOS,399523,25.5,0.3,0.1,0,0.2,0.1,16.5,56.3,0.8,0
ATHI RIVER,109723,7.3,0.1,0.2,0,0.4,0.2,31.4,58.8,1.5,0.1
KALAMA,14137,30.7,1.1,0.1,0,0.1,0.1,8.9,58.6,0.4,0
KANGUNDO,26115,30,0.1,0,-,0,0,11,58.6,0.3,0
KATHIANI,28730,35.1,0.4,0,-,0.3,0,9.9,53.8,0.5,0
MACHAKOS,50753,15.4,0.2,0,0,0.1,0.1,21,62.2,1,0
MASINGA,36196,45.2,0.5,0.1,0.2,0.3,0.1,4.2,49,0.3,0
MATUNGULU,44399,31.8,0.4,0,0,0.2,0.2,14.2,52.2,0.9,0
MWALA,45809,34.2,0.4,0,-,0.1,0,6.1,58.7,0.5,0
YATTA,43661,40.7,0.4,0.2,0.1,0.1,0.2,7.4,50.4,0.5,0
MAKUENI,243979,36.6,0.5,0,0,0.1,0,5.9,56.4,0.5,0
KATHONZWENI,18362,39.3,0.3,0,0,0.1,0.1,2.9,56.9,0.3,0
KIBWEZI,47594,42,0.3,0.1,0,0,0,4.6,52.4,0.5,0
KILUNGU,14563,39.2,1.4,0,-,0,-,9.3,49.8,0.2,0
MAKINDU,21662,37.9,0.1,0,0,0,0,7.2,54.3,0.4,0
MAKUENI,34352,27.3,0.7,0,0,0.6,0.1,8.4,62.2,0.7,0
MBOONI EAST,23724,39.2,0.6,0,0,0,0,3.6,56.2,0.3,0
MBOONI WEST,24807,40.8,0.5,0.1,0,0.3,0,5,53,0.3,0
MUKAA,28109,32.5,0.2,0.1,0,0.1,0,7.8,58.2,1,0
NZAUI,30806,32.8,0.4,0,0,0.1,0,5,61.3,0.3,0
NYANDARUA,178224,50.6,0.3,0.7,0,0.2,0.1,6.3,39.5,2.2,0
KINANGOP,30847,44.8,0.1,0.6,0,0.3,0.1,8.9,39.7,5.4,0
NYANDARUA SOUTH,25650,50.3,0.3,1.4,0,0.1,0,8.4,37.4,2,0
MIRANGINE,17880,60.7,0.2,0.3,0,0.2,0.2,3.1,33.9,1.4,0
KIPIPIRI,25077,60.8,0.1,1.5,-,0.3,0,4.5,31.5,1.2,0
NYANDARUA CENTRAL,21852,39.8,0.6,0.2,0,0.1,0.2,8,49.5,1.6,0
NYANDARUA WEST,29003,44.5,0.4,0.4,0,0.2,0.2,6.1,46,2.3,0
NYANDARUA NORTH,27906,56.2,0.6,0.7,0.2,0.2,0.2,3.9,37.3,0.8,0
ABERDARE NATIONAL PARK,9,-,-,-,-,-,-,-,100,-,-
NYERI,244564,39.8,0.1,0.8,0,0.2,0.1,6.2,51.7,1.2,0
TETU,24122,44.5,0,1.6,0,0.1,0,5.3,47.1,1.3,0
KIENI EAST,36751,41.4,0.1,1,0,0.2,0,4.7,51.7,1,0
KIENI WEST,27530,61.6,0,1.5,0.1,0.3,0.2,2.6,32.7,0.9,0
MATHIRA EAST,33945,34.2,0,0.3,0,0.3,0.1,6.4,57.4,1.3,0
MATHIRA WEST,18892,46.6,0.1,0.6,-,0.1,0,4.3,47.8,0.5,0
NYERI SOUTH,28103,39.5,0.1,0.5,-,0.3,0,6.5,52.2,0.9,0
MUKURWE-INI,27036,49.7,0,0.4,0,0.1,0,4.5,44.5,0.7,0
NYERI CENTRAL,48036,19.4,0.1,0.6,0,0.3,0.1,11.1,66.2,2.2,0
MT. KENYA FOREST,101,38.6,-,-,-,-,-,-,60.4,1,-
ABERDARE FOREST,48,-,-,4.2,-,-,-,2.1,93.8,-,-
KIRINYAGA,203576,42.2,0.2,0.1,0,0,0.1,8.6,47.3,1.5,0
KIRINYAGA CENTRAL,40149,34.4,0.1,0.1,0,0,0,9.8,54.7,0.7,0
KIRINYAGA EAST,44509,42.3,0.2,0.1,0,0,0,8,48.3,0.9,0
KIRINYAGA WEST,37951,40.1,0.1,0.1,0,0,0,7.7,51.2,0.8,0
MWEA EAST,46331,44,0.2,0.1,0,0.1,0.1,9.3,43.5,2.7,0
MWEA WEST,34613,51.1,0.4,0,0,0.1,0.1,7.8,37.9,2.5,0
MT. KENYA FOREST,23,-,-,-,-,-,-,-,100,-,-
MURANG'A,317496,39.9,0.2,0.2,0,0.2,0.1,7.9,50.5,1,0
MURANG'A EAST,34650,35.8,0.1,0.1,-,0.1,0.1,13.5,49.4,0.8,0
