"County/Sub County","Farming","Exotic cattle Dairy","Exotic cattle  Beef","Indigenous cattle","Sheep","Goats","Camels","Donkeys","Pigs","Indigenous Chicken","Exotic Chicken Layers","Exotic Chicken Broilers","Beehives","Rabbits","Fish Ponds","Fish Cages"
"KENYA",6354211,939916,167625,2260439,1299893,1898887,167666,500682,110383,3337700,194517,79461,201406,124122,22019,3361
"MOMBASA",12497,412,191,1024,313,3029,6,36,134,6142,743,998,68,186,83,24
"CHANGAMWE",618,16,10,20,10,95,"-",1,7,350,53,78,1,14,6,"-"
"JOMVU",2418,60,23,190,45,568,"-",11,37,1296,157,199,6,30,8,3
"KISAUNI",6257,202,82,632,161,1614,4,8,76,3016,280,411,41,79,37,11
"LIKONI",1863,73,51,127,63,566,"-",5,7,870,124,140,11,33,16,7
"MVITA",309,16,8,9,9,36,1,4,3,121,33,35,2,5,7,2
"NYALI",1032,45,17,46,25,150,1,7,4,489,96,135,7,25,9,1
"KWALE",108074,1453,804,33888,10587,45129,62,507,48,56196,962,836,573,179,201,57
"KINANGO",13855,151,119,5722,2810,7431,5,214,1,7921,134,62,122,7,7,"-"
"LUNGA LUNGA",29299,490,192,10935,3322,12114,15,134,29,14607,288,186,150,46,89,45
"MATUGA",24689,307,145,6394,987,9750,10,84,3,13292,167,156,175,44,30,3
"MSAMBWENI",14959,257,184,3432,368,3905,7,24,8,7129,264,320,53,63,50,6
"SAMBURU",25272,248,164,7405,3100,11929,25,51,7,13247,109,112,73,19,25,3
"KILIFI",161188,4905,1480,33420,6746,67419,81,1234,366,72134,1484,1807,611,524,333,50
"CHONYI",10025,148,48,798,18,2585,3,1,22,4051,21,10,1,15,14,"-"
"GANZE",20578,321,112,7307,2220,11917,26,59,3,12160,199,54,98,42,38,5
"KALOLENI",22504,514,166,5538,1357,9342,4,177,80,10405,270,224,114,48,31,5
"KAUMA",2867,37,29,812,60,1499,2,2,3,1342,30,19,3,6,9,2
"KILIFI NORTH",18690,1423,259,2960,287,7854,12,28,37,8584,194,362,39,85,29,5
