County,SubCounty,Total,Sex Male ,Sex Female,Total,HouseholdsConventional,HouseholdsGroupQuarters,LandAreaSq.Km,DensityPersonsperSq.Km
BARINGO,EAST POKOT,79923,40462,39459,14498,"14,392 ", 106,2500,32
BARINGO,KOIBATEK,129535,65295,64238,30774,"30,752 ", 22,939,138
BARINGO,MARIGAT,90955,45706,45246,19854,"19,658 ", 196,1405,65
BARINGO,MOGOTIO,91104,46014,45088,18184,"18,169 ", 15,1375,66
BARINGO,TIATY EAST,73424,38356,35068,12153,"12,038 ", 115,2163,34
BARINGO,LAKE BARINGO,-,-,-,-,- , -,186,-
LAIKIPIA,,518560,259440,259102,149271,"145,776 "," 3,495",9508,55
LAIKIPIA,LAIKIPIA CENTRAL,95594,47888,47705,30372,"29,877 ", 495,1233,78
LAIKIPIA,LAIKIPIA EAST,102815,52078,50732,33505,"31,311 "," 2,194",1539,67
LAIKIPIA,LAIKIPIA NORTH,36184,18067,18116,7752,"7,694 ", 58,2550,14
LAIKIPIA,LAIKIPIA WEST,129263,65158,64102,33025,"32,821 ", 204,3372,38
LAIKIPIA,NYAHURURU,154704,76249,78447,44617,"44,073 ", 544,813,190
NAKURU,,2162202,1077272,1084835,616046,"598,237 "," 17,809",7505,288
NAKURU,GILGIL,185209,92955,92247,58920,"49,405 "," 9,515",1075,172
NAKURU,KURESOI NORTH,175074,87472,87599,40359,"40,168 ", 191,618,283
NAKURU,KURESOI SOUTH,155324,78204,77117,34627,"34,543 ", 84,591,263
NAKURU,MOLO,156732,78129,78598,41462,"41,439 ", 23,483,324
NAKURU,NAIVASHA,355383,179222,176132,117633,"111,493 "," 6,140",1958,181
NAKURU,NAKURU EAST,193926,92956,100960,61398,"60,066 "," 1,332",231,840
NAKURU,NAKURU NORTH,218050,106155,111880,61728,"61,582 ", 146,387,563
NAKURU,NAKURU WEST,198661,101797,96854,64481,"64,429 ", 52,72,2764
NAKURU,NJORO,238773,118361,120408,61271,"61,156 ", 115,699,341
NAKURU,RONGAI,199906,99976,99922,52348,"52,248 ", 100,988,202
NAKURU,SUBUKIA,85164,42045,43118,21819,"21,708 ", 111,402,212
NAROK,,1157873,579042,578805,241125,"238,115 "," 3,010",17932,65
NAROK,NAROK EAST,115323,58699,56617,25078,"24,860 ", 218,2042,56
NAROK,NAROK NORTH,251862,128024,123829,59996,"59,802 ", 194,2159,117
NAROK,NAROK SOUTH,238472,118441,120029,46723,"46,549 ", 174,4577,52
NAROK,NAROK WEST,195287,97085,98198,38658,"37,782 ", 876,5563,35
NAROK,TRANS MARA EAST,111183,54545,56637,20506,"20,439 ", 67,310,359
NAROK,TRANS MARA WEST,245714,122220,123491,50132,"48,683 "," 1,449",2546,97
NAROK,MAU FOREST,32,28,4,32,- ,32,734,-
KAJIADO,,1117840,557098,560704,316179,"313,218 "," 2,961",21871,51
KAJIADO,ISINYA,210473,105607,104860,71579,"71,395 ", 184,1072,196
KAJIADO,KAJIADO CENTRAL,161862,81514,80343,37238,"37,059 ", 179,4239,38
KAJIADO,KAJIADO NORTH,306596,150675,155908,101378,"100,908 ", 470,111,2773
KAJIADO,KAJIADO WEST,182849,91607,91237,42774,"42,367 ", 407,7862,23
KAJIADO,LOITOKITOK,191846,94613,97225,47058,"45,581 "," 1,477",6337,30
KAJIADO,MASHUURU,64214,33082,31131,16152,"15,908 ", 244,2251,29
