County/Sub County,Area of Agricultural land (Hectares),Area of agricutural land by main purpose (Hectares) – Subsistence,Area of agricutural land by main purpose (Hectares) -  Commercial,Total number of Farming Households,Number of farming households by main purpose of agricultural production – Subsistence,Number of farming households by main purpose of agricultural production – Commercial
GARISSA,21651,9754,2458,3335,1815,494
HULUGHO,37580,24462,1743,13731,8938,637
IJARA,22267,11634,1182,8136,4251,432
LAGDERA,10652,5605,263,4786,2223,222
WAJIR,513445,413225,12489,63433,39205,2785
BUNA,79063,75009,770,3425,2365,206
ELDAS,66506,57884,2032,6975,4436,341
HABASWEIN,109998,69034,4928,19731,12383,884
TARBAJ,96060,93399,187,4598,2484,113
WAJIR EAST,25136,18052,575,3113,1519,183
WAJIR NORTH,66163,59646,934,5288,4187,104
WAJIR SOUTH,22752,13859,1066,11735,7106,596
WAJIR WEST,47766,26341,1996,8568,4725,358
MANDERA,547731,414032,15528,62639,44434,1888
MANDERA WEST,48617,37659,4639,8737,7153,363
BANISA,124859,116030,1581,14983,12895,425
KOTULO,121497,81789,388,6881,3744,128
LAFEY,154947,112144,1625,7352,4868,128
MANDERA CENTRAL,51293,32659,750,8042,4097,238
MANDERA EAST,21901,16817,1804,7078,4632,417
MANDERA NORTH,24618,16935,4742,9566,7045,189
MARSABIT,86529,60308,3985,39167,26702,1118
LOIYANGALANI,21564,13355,203,4891,3029,46
MARSABIT CENTRAL,8434,6895,826,4727,3832,364
MARSABIT NORTH,7496,5204,735,6193,3878,184
MARSABIT SOUTH,12566,10831,1174,8620,6214,283
MOYALE,7543,5337,796,3823,2375,158
NORTH HORR,23014,14319,203,7259,4791,50
SOLOLO,5912,4367,48,3654,2583,33
ISIOLO,117310,99708,2855,24271,16854,1549
GARBATULLA,21301,16641,644,9264,5395,363
ISIOLO,29649,24259,1897,8600,6765,985
MERTI,66359,58808,314,6407,4694,201
MERU,361272,310827,45753,274865,238707,30109
BUURI EAST,25239,15237,9775,18061,14591,3038
BUURI WEST,9995,5704,4195,14939,10496,4154
IGEMBE CENTRAL,114301,105614,8183,31946,29254,1822
IGEMBE NORTH,32956,31106,610,22743,21676,483
IGEMBE SOUTH,27032,23562,2433,21483,18488,2198
IMENTI NORTH,18498,13353,4920,27839,23568,3645
IMENTI SOUTH,37108,30715,6090,46386,39295,6496
MERU CENTRAL,22804,18100,4501,31894,26756,4725
TIGANIA CENTRAL,19119,16353,2552,18982,16497,1971
TIGANIA EAST,18292,17335,679,12186,11528,330
TIGANIA WEST,35831,33725,1740,28224,26507,1117
MERU NATIONAL PARK,2,2,-,3,3,-
MT. KENYA FOREST,95,22,74,179,48,130
THARAKA - NITHI,147710,134102,12281,85767,78456,6073
IGAMBANG'OMBE,19752,18764,895,12254,11694,409
MAARA,42658,36883,5444,27526,24679,2488
MERU SOUTH,34594,32083,2204,19251,17341,1661
THARAKA NORTH,27620,25979,1439,11402,10784,420
THARAKA SOUTH,23085,20393,2298,15330,13957,1092
MT. KENYA FOREST,2,-,2,4,1,3
EMBU,122114,105151,16259,130990,113678,15674
EMBU EAST,23349,20288,2964,31674,27672,3638
EMBU NORTH,16905,13007,3837,18854,14014,4629
EMBU WEST,15299,11922,3294,21166,17710,3132
MBEERE SOUTH,45634,40574,4712,35511,31957,3062
MBEERE NORTH,20928,19360,1453,23785,22325,1213
MT. KENYA FOREST,-,- ,-,-,- ,-
KITUI,410703,389785,16190,215322,206970,5223
IKUTHA,37563,34261,2806,14236,13154,796
KATULANI,14642,14038,512,10717,10539,116
KISASI,17201,16783,354,9797,9647,104
KITUI CENTRAL,17379,16116,968,17146,16598,380
KITUI WEST,24311,22658,1565,15208,14819,299
KYUSO,34421,32325,1498,14021,13221,439
LOWER YATTA,35116,33515,1344,12281,11767,367
MATINYANI,13569,13258,208,10531,10321,105
MIGWANI,24625,23378,1121,17012,16535,367
MUMONI,10146,9875,185,5646,5493,84
MUTITU,22408,21522,570,9766,9348,180
MUTITU NORTH,8432,8090,256,4303,4138,93
MUTOMO,46944,45213,1370,19832,19155,461
MWINGI CENTRAL,33281,31279,1614,19371,18293,687
MWINGI EAST,32459,30624,900,15945,15087,350
NZAMBANI,10115,9799,259,9189,8964,158
THAGICU,7576,7383,119,2968,2876,40
TSEIKURU,20517,19668,541,7353,7015,197
MACHAKOS,268694,248201,17610,231341,220575,8203
ATHI RIVER,13342,10257,2766,13071,10871,1723
KALAMA,12993,12580,360,11334,11118,137
KANGUNDO,14667,13418,1198,23045,22422,550
KATHIANI,17802,16497,1174,24578,23477,855
MACHAKOS,23411,20555,2562,26753,25369,1067
MASINGA,47070,44440,1975,30328,29106,825
MATUNGULU,28477,25596,2696,29763,28114,1327
MWALA,61328,58703,2391,39928,39173,613
YATTA,49605,46156,2490,32541,30925,1106
MAKUENI,303089,281186,18730,193531,183660,7587
KATHONZWENI,36768,34901,1628,15666,15003,508
KIBWEZI,67035,61516,3927,33820,31503,1463
KILUNGU,11058,10398,519,12881,12473,302
MAKINDU,30828,28458,1970,14334,13061,942
MAKUENI,35920,31836,3886,26021,24318,1562
MBOONI EAST,31148,29605,1452,21461,20794,562
MBOONI WEST,23917,23231,608,22069,21506,417
MUKAA,27874,26019,1581,22133,21339,542
NZAUI,38541,35223,3161,25146,23663,1289
NYANDARUA,97254,69496,27102,140854,107997,31613
KINANGOP,12888,6134,6630,23636,13116,10220
NYANDARUA SOUTH,13305,8895,4122,20400,15324,4781
MIRANGINE,9803,6517,3249,14488,10901,3519
KIPIPIRI,15322,12633,2627,21702,18612,2950
NYANDARUA CENTRAL,10479,6936,3509,16111,12938,3081
NYANDARUA WEST,12278,8555,3691,21047,17306,3587
NYANDARUA NORTH,23179,19825,3274,23468,19799,3474
ABERDARE NATIONAL PARK,*,1,*,2,1,1
NYERI,98512,81690,16107,164229,140838,21590
TETU,10341,9538,758,20387,19221,1020
KIENI EAST,13065,9206,3633,23138,17469,5230
KIENI WEST,14270,11309,2820,21942,18038,3617
MATHIRA EAST,10289,6543,3685,20473,15265,4962
MATHIRA WEST,8146,7122,969,15919,14437,1349
NYERI SOUTH,19597,18358,1200,21243,19146,1970
MUKURWE-INI,12954,11812,1057,22973,21254,1555
NYERI CENTRAL,9829,7799,1969,18108,15996,1853
MT. KENYA FOREST,19,3,16,44,12,32
ABERDARE FOREST,2,- ,2,2,- ,2
KIRINYAGA,80166,52890,26670,139866,96666,41035
KIRINYAGA CENTRAL,18927,14525,4127,27890,20748,6736
KIRINYAGA EAST,17978,11157,6744,36150,23747,12029
KIRINYAGA WEST,13649,9705,3866,27280,20348,6632
MWEA EAST,15919,9438,6370,25729,16823,8236
MWEA WEST,13692,8066,5561,22809,14999,7395
MT. KENYA FOREST,1,- ,1,8,1,7
MURANG'A,140189,125257,14009,231400,211655,17893
MURANG'A EAST,18733,17711,970,21474,20322,982
KANGEMA,11246,10095,1111,20585,18785,1719
MATHIOYA,15790,14419,1296,23395,21099,2094
KAHURO,12667,11426,1213,23127,20961,2080
MURANG'A SOUTH,28168,26137,1947,37654,34913,2376
GATANGA,19982,16237,3262,35429,31766,3256
KIGUMO,15546,13518,1960,31110,28034,2887
KANDARA,18057,15714,2250,38624,35773,2499
ABERDARE FOREST,*,* ,-,2,2,-
KIAMBU,90218,66642,22247,214052,173960,35169
GATUNDU NORTH,10508,8121,2337,21532,17626,3628
GATUNDU SOUTH,11993,10442,1408,25074,22944,1829
GITHUNGURI,11165,8631,2447,29745,24752,4420
JUJA,7466,5127,2044,15859,12649,2563
KABETE,4691,3345,1314,15713,10924,4325
KIAMBAA,5813,4381,1344,13339,11236,1690
KIAMBU,4525,3083,1379,10505,8421,1762
KIKUYU,5439,4545,809,17693,15864,1551
LARI,10803,7006,3711,25602,18033,7069
LIMURU,8083,5814,2169,19202,16560,2201
RUIRU,4095,2617,1375,8590,6523,1706
THIKA EAST,1892,1478,398,4700,3903,648
THIKA WEST,3748,2050,1510,6498,4525,1777
