County/ Sub-County,Total NO,At School/ Learning Institution Number,At School/ Learning Institution per cent,"Left School/ Learning Institution
  After Completion Number","Left School/ Learning Institution
  After Completion per cent","Left School/ Learning Institution
  Before Completion Number","Left School/ Learning Institution
  Before per cent","Never Been to School/ Learning
  Institution Number","Never Been to School/ Learning
  Institution per cent",Dont know Number,Dont know per cent,Not Stated Number
Female,81724,39387,48.2,10226,12.5,17537,21.5,13896,17,668,0.8,10
MUMIAS EAST,108468,55214,50.9,16979,15.7,23567,21.7,12120,11.2,583,0.5,5
Male,51751,27824,53.8,8293,16,10485,20.3,4842,9.4,305,0.6,2
Female,56714,27388,48.3,8685,15.3,13082,23.1,7278,12.8,278,0.5,3
MUMIAS WEST,106473,53145,49.9,20060,18.8,20588,19.3,12011,11.3,642,0.6,27
Male,50529,26655,52.8,9728,19.3,9088,18,4688,9.3,359,0.7,11
Female,55943,26490,47.4,10332,18.5,11499,20.6,7323,13.1,283,0.5,16
NAVAKHOLO,142792,74680,52.3,21105,14.8,30265,21.2,16061,11.2,659,0.5,22
Male,67650,37482,55.4,10238,15.1,12904,19.1,6692,9.9,326,0.5,8
Female,75135,37195,49.5,10866,14.5,17359,23.1,9368,12.5,333,0.4,14
VIHIGA,550070,257982,46.9,128847,23.4,115345,21,44178,8,3623,0.7,95
Male,263949,129422,49,61789,23.4,52189,19.8,18682,7.1,1815,0.7,52
Female,286112,128556,44.9,67055,23.4,63154,22.1,25496,8.9,1808,0.6,43
EMUHAYA,90814,42853,47.2,18377,20.2,20425,22.5,8487,9.3,654,0.7,18
Male,43383,21470,49.5,8563,19.7,9363,21.6,3648,8.4,329,0.8,10
Female,47430,21383,45.1,9813,20.7,11062,23.3,4839,10.2,325,0.7,8
VIHIGA,88664,41104,46.4,23313,26.3,17596,19.8,5965,6.7,660,0.7,26
Male,42455,20629,48.6,11222,26.4,7701,18.1,2570,6.1,316,0.7,17
Female,46207,20475,44.3,12089,26.2,9895,21.4,3395,7.3,344,0.7,9
SABATIA,122708,57435,46.8,32383,26.4,24106,19.6,7839,6.4,930,0.8,15
Male,58591,28652,48.9,15571,26.6,10669,18.2,3224,5.5,469,0.8,6
Female,64116,28782,44.9,16812,26.2,13437,21,4615,7.2,461,0.7,9
LUANDA,98821,45308,45.8,24126,24.4,20405,20.6,8330,8.4,625,0.6,27
Male,47692,22740,47.7,11725,24.6,9371,19.6,3522,7.4,320,0.7,14
Female,51127,22568,44.1,12401,24.3,11032,21.6,4808,9.4,305,0.6,13
HAMISI,149047,71281,47.8,30634,20.6,32812,22,13557,9.1,754,0.5,9
Male,71816,35931,50,14696,20.5,15085,21,5718,8,381,0.5,5
Female,77228,35347,45.8,15938,20.6,17727,23,7839,10.2,373,0.5,4
KAKAMEGA FOREST,16,1,6.3,14,87.5,1,6.3,-,-,-,-,-
Male,12,-,-,12,100,-,-,-,-,-,-,-
Female,4,1,25,2,50,1,25,-,-,-,-,-
BUNGOMA,1538767,782677,50.9,264282,17.2,324058,21.1,151938,9.9,15673,1,139
Male,745883,396144,53.1,133462,17.9,140682,18.9,67323,9,8198,1.1,74
Female,792851,386512,48.7,130817,16.5,183372,23.1,84612,10.7,7473,0.9,65
BUMULA,199499,102696,51.5,23670,11.9,45969,23,24883,12.5,2279,1.1,2
Male,95312,51685,54.2,11881,12.5,19870,20.8,10710,11.2,1164,1.2,2
Female,104186,51010,49,11789,11.3,26099,25.1,14173,13.6,1115,1.1,-
BUNGOMA CENTRAL,163799,83204,50.8,29747,18.2,35007,21.4,14301,8.7,1536,0.9,4
Male,79315,41882,52.8,15216,19.2,14990,18.9,6429,8.1,795,1,3
Female,84477,41319,48.9,14529,17.2,20017,23.7,7871,9.3,740,0.9,1
BUNGOMA EAST,106122,54673,51.5,20946,19.7,22353,21.1,7292,6.9,836,0.8,22
Male,51497,27756,53.9,10382,20.2,9670,18.8,3211,6.2,467,0.9,11
Female,54623,26916,49.3,10564,19.3,12682,23.2,4081,7.5,369,0.7,11
BUNGOMA NORTH,111891,58637,52.4,21859,19.5,22370,20,8342,7.5,670,0.6,13
