County /Sub-County,Population Age 15 years and Above Total,Population Age 15 years and AboveMale,Population Age 15 years and Above Female,Searched and Bought Goods/Services online Total,percent total,Searched and Bought Goods/Services onlineMale,per cent male,Searched and Bought Goods/Services onlinefemale,per cent female
IGAMBANG'OMBE,,,,311,0.9,184,1.1,127,0.7
MAARA,,,,2013,2.5,1043,2.6,970,2.4
MERU SOUTH,,,,2313,3.6,1229,3.9,1083,3.3
THARAKA NORTH,,,,270,0.8,167,1,103,0.6
THARAKA SOUTH,,,,647,1.4,388,1.8,259,1
MT. KENYA FOREST,,,,9,6.5,2,3.1,7,9.3
EMBU,,,,10516,2.5,5642,2.7,4872,2.3
EMBU EAST,,,,1968,2.2,1053,2.3,915,2
EMBU NORTH,,,,1138,2,631,2.3,507,1.8
EMBU WEST,,,,4870,5.4,2501,5.7,2367,5.2
MBEERE SOUTH,,,,1662,1.5,954,1.7,708,1.3
MBEERE NORTH,,,,877,1.3,503,1.5,374,1
MT. KENYA FOREST,,,,1,4.8,-,-,1,33.3
KITUI,,,,11702,1.7,6664,2.1,5037,1.4
IKUTHA,,,,469,1,289,1.3,180,0.7
KATULANI,,,,562,1.8,321,2.1,241,1.5
KISASI,,,,343,1.2,201,1.4,142,0.9
KITUI CENTRAL,,,,2711,3.9,1384,4.2,1327,3.7
KITUI WEST,,,,906,2,504,2.4,402,1.7
KYUSO,,,,447,1,272,1.4,175,0.7
LOWER YATTA,,,,678,1.7,417,2.1,261,1.3
MATINYANI,,,,524,1.7,282,1.9,242,1.5
MIGWANI,,,,795,1.6,471,2.1,323,1.2
MUMONI,,,,169,1,103,1.4,66,0.7
MUTITU,,,,273,0.9,147,1,126,0.7
MUTITU NORTH,,,,151,1.2,91,1.5,60,0.9
MUTOMO,,,,690,1.1,425,1.4,265,0.8
MWINGI CENTRAL,,,,1637,2.5,919,3,718,2
MWINGI EAST,,,,495,1,321,1.5,174,0.7
NZAMBANI,,,,603,2,358,2.5,245,1.6
THAGICU,,,,22,0.3,13,0.3,9,0.2
TSEIKURU,,,,227,1,146,1.3,81,0.6
MACHAKOS,,,,44133,4.6,23782,5,20350,4.2
ATHI RIVER,,,,24680,11.1,12838,11.3,11842,10.9
KALAMA,,,,716,2,420,2.4,296,1.6
KANGUNDO,,,,1580,2.4,890,2.7,690,2
KATHIANI,,,,1214,1.7,739,2.1,475,1.2
MACHAKOS,,,,6791,5.7,3714,6.3,3077,5.2
MASINGA,,,,1482,1.6,904,2,578,1.2
MATUNGULU,,,,3432,3.2,1839,3.4,1593,3
MWALA,,,,2123,1.7,1226,2.1,897,1.4
YATTA,,,,2115,1.9,1212,2.2,902,1.6
MAKUENI,,,,12838,2,7576,2.5,5262,1.6
KATHONZWENI,,,,736,1.4,453,1.8,283,1.1
KIBWEZI,,,,2485,2,1478,2.5,1007,1.6
KILUNGU,,,,695,1.8,411,2.3,284,1.4
MAKINDU,,,,1206,2.3,699,2.7,507,1.8
MAKUENI,,,,2604,3,1467,3.4,1137,2.6
MBOONI EAST,,,,920,1.4,554,1.8,366,1.1
MBOONI WEST,,,,1092,1.7,668,2.2,424,1.2
MUKAA,,,,1469,2.1,875,2.5,594,1.7
NZAUI,,,,1631,2,971,2.4,660,1.6
NYANDARUA,,,,9011,2.2,5539,2.8,3472,1.6
KINANGOP,,,,1364,1.9,850,2.5,514,1.4
NYANDARUA SOUTH,,,,1315,2.2,803,2.8,512,1.7
MIRANGINE,,,,647,1.5,420,2,227,1.1
KIPIPIRI,,,,943,1.6,593,2.1,350,1.1
NYANDARUA CENTRAL,,,,1399,2.9,809,3.5,590,2.4
NYANDARUA WEST,,,,1957,3.1,1243,4,714,2.2
NYANDARUA NORTH,,,,1386,2.2,821,2.7,565,1.7
ABERDARE NATIONAL PARK,,,,- ,-,-,-,-,-
NYERI,,,,22154,4.2,12648,4.9,9506,3.5
TETU,,,,1625,2.9,917,3.4,708,2.4
KIENI EAST,,,,2879,3.8,1692,4.5,1187,3.1
KIENI WEST,,,,1752,2.9,1030,3.5,722,2.4
MATHIRA EAST,,,,3004,4.2,1731,5.1,1273,3.4
MATHIRA WEST,,,,1296,3.1,724,3.5,572,2.6
NYERI SOUTH,,,,2022,3.2,1162,3.8,860,2.6
MUKURWE-INI,,,,1899,3.1,1073,3.6,826,2.6
NYERI CENTRAL,,,,7659,7.8,4308,9.1,3351,6.7
MT. KENYA FOREST,,,,9,6,7,6.9,2,4.2
ABERDARE FOREST,,,,9,9.8,4,6.3,5,17.9
KIRINYAGA,,,,12219,2.8,6916,3.3,5301,2.4
KIRINYAGA CENTRAL,,,,3313,3.8,1778,4.2,1535,3.4
KIRINYAGA EAST,,,,2649,2.7,1562,3.2,1087,2.2
KIRINYAGA WEST,,,,2211,2.7,1256,3.2,955,2.3
MWEA EAST,,,,2515,2.8,1434,3.2,1079,2.3
MWEA WEST,,,,1530,2.1,885,2.4,645,1.8
MT. KENYA FOREST,,,,1,3.1,1,4.2,-,-
MURANG'A,,,,17185,2.4,9760,2.8,7425,2
MURANG'A EAST,,,,2814,3.8,1471,4,1343,3.5
KANGEMA,,,,1297,2.3,733,2.7,564,2
MATHIOYA,,,,1263,2,733,2.4,530,1.6
KAHURO,,,,1291,2.1,747,2.5,544,1.7
MURANG'A SOUTH,,,,3116,2.6,1773,3,1343,2.2
GATANGA,,,,3249,2.6,1836,2.9,1413,2.3
KIGUMO,,,,1719,1.9,1000,2.2,719,1.5
KANDARA,,,,2436,2.1,1467,2.5,969,1.6
ABERDARE FOREST,,,,- ,-,-,-,-,-
KIAMBU,,,,152171,9.2,81366,10.1,70797,8.3
GATUNDU NORTH,,,,1911,2.6,1124,3.1,787,2.1
GATUNDU SOUTH,,,,2339,2.8,1323,3.2,1016,2.4
GITHUNGURI,,,,3756,3.3,2078,3.7,1678,2.9
JUJA,,,,20501,10,11740,11.6,8759,8.3
KABETE,,,,15733,11.3,8294,12.3,7438,10.4
KIAMBAA,,,,19823,12.1,10082,12.7,9740,11.6
KIAMBU,,,,13763,13.6,6804,14.4,6958,13
KIKUYU,,,,17079,13.2,8694,14.1,8385,12.4
LARI,,,,2610,2.9,1530,3.5,1080,2.4
LIMURU,,,,6031,5.7,3345,6.3,2686,5
