"No","COUNTY","Age","Male","Female","Total"
1,"BARINGO","Total",299456,292006,591462
2,"BARINGO",0,7195,6942,14137
3,"BARINGO",1,7647,7385,15032
4,"BARINGO",2,9244,8749,17993
5,"BARINGO",3,9254,9081,18335
6,"BARINGO",4,10078,9314,19392
7,"BARINGO","0 - 4",43418,41471,84889
8,"BARINGO",5,9794,9173,18967
9,"BARINGO",6,10080,9468,19548
10,"BARINGO",7,8702,8176,16878
11,"BARINGO",8,9475,9224,18699
12,"BARINGO",9,8493,8216,16709
13,"BARINGO","5-9",46544,44257,90801
14,"BARINGO",10,11904,11128,23032
15,"BARINGO",11,7318,7519,14837
16,"BARINGO",12,10988,9658,20646
17,"BARINGO",13,8953,8244,17197
18,"BARINGO",14,9065,8258,17323
19,"BARINGO","10-14",48228,44807,93035
20,"BARINGO",15,9707,8502,18209
21,"BARINGO",16,7991,7282,15273
22,"BARINGO",17,7691,6736,14427
23,"BARINGO",18,6692,5940,12632
24,"BARINGO",19,6544,5877,12421
25,"BARINGO","15-19",38625,34337,72962
26,"BARINGO",20,7123,6851,13974
27,"BARINGO",21,5187,5127,10314
28,"BARINGO",22,4888,5029,9917
29,"BARINGO",23,4978,5014,9992
30,"BARINGO",24,4471,4450,8921
31,"BARINGO","20-24",26647,26471,53118
32,"BARINGO",25,5534,5593,11127
33,"BARINGO",26,3538,3806,7344
34,"BARINGO",27,3635,3783,7418
35,"BARINGO",28,3148,3565,6713
36,"BARINGO",29,3287,3526,6813
37,"BARINGO","25-29",19142,20273,39415
38,"BARINGO",30,5239,5644,10883
39,"BARINGO",31,2715,2874,5589
40,"BARINGO",32,3165,3372,6537
41,"BARINGO",33,2732,2915,5647
42,"BARINGO",34,2242,2326,4568
43,"BARINGO","30-34",16093,17131,33224
44,"BARINGO",35,4300,4387,8687
45,"BARINGO",36,2164,2019,4183
46,"BARINGO",37,2229,1876,4105
47,"BARINGO",38,1602,1729,3331
48,"BARINGO",39,1968,1822,3790
49,"BARINGO","35-39",12263,11833,24096
50,"BARINGO",40,3401,3048,6449
51,"BARINGO",41,2530,2231,4761
52,"BARINGO",42,1964,1886,3850
53,"BARINGO",43,1573,1781,3354
54,"BARINGO",44,1175,1362,2537
55,"BARINGO","40-44",10643,10308,20951
56,"BARINGO",45,3308,3217,6525
57,"BARINGO",46,1650,1800,3450
58,"BARINGO",47,1770,1803,3573
59,"BARINGO",48,1046,1115,2161
60,"BARINGO",49,1380,1573,2953
61,"BARINGO","45-49",9154,9508,18662
62,"BARINGO",50,2238,2496,4734
63,"BARINGO",51,1268,1270,2538
64,"BARINGO",52,1089,1216,2305
65,"BARINGO",53,861,926,1787
66,"BARINGO",54,1258,1358,2616
67,"BARINGO","50-54",6714,7266,13980
68,"BARINGO",55,1144,996,2140
69,"BARINGO",56,994,1013,2007
70,"BARINGO",57,1032,1346,2378
71,"BARINGO",58,1263,1389,2652
72,"BARINGO",59,1244,1274,2518
73,"BARINGO","55-59",5677,6018,11695
74,"BARINGO",60,1801,1948,3749
75,"BARINGO",61,1111,984,2095
76,"BARINGO",62,791,801,1592
77,"BARINGO",63,863,880,1743
78,"BARINGO",64,583,620,1203
79,"BARINGO","60-64",5149,5233,10382
80,"BARINGO",65,1149,1325,2474
81,"BARINGO",66,517,520,1037
82,"BARINGO",67,1002,916,1918
83,"BARINGO",68,532,530,1062
84,"BARINGO",69,885,980,1865
85,"BARINGO","65-69",4085,4271,8356
86,"BARINGO",70,1209,1458,2667
87,"BARINGO",71,834,726,1560
88,"BARINGO",72,552,532,1084
89,"BARINGO",73,387,458,845
90,"BARINGO",74,462,502,964
91,"BARINGO","70-74",3444,3676,7120
92,"BARINGO",75,466,514,980
93,"BARINGO",76,275,274,549
94,"BARINGO",77,304,324,628
95,"BARINGO",78,196,205,401
96,"BARINGO",79,339,566,905
97,"BARINGO","75-79",1580,1883,3463
98,"BARINGO",80,432,649,1081
99,"BARINGO",81,157,323,480
100,"BARINGO",82,129,149,278
101,"BARINGO",83,159,241,400
102,"BARINGO",84,177,260,437
103,"BARINGO","80-84",1054,1622,2676
104,"BARINGO",85,129,226,355
105,"BARINGO",86,89,122,211
106,"BARINGO",87,116,128,244
107,"BARINGO",88,49,65,114
108,"BARINGO",89,178,300,478
109,"BARINGO","85-89",561,841,1402
110,"BARINGO",90,81,183,264
111,"BARINGO",91,54,75,129
112,"BARINGO",92,37,52,89
113,"BARINGO",93,36,53,89
114,"BARINGO",94,31,58,89
115,"BARINGO","90-94",239,421,660
116,"BARINGO",95,52,110,162
117,"BARINGO",96,20,31,51
118,"BARINGO",97,27,32,59
119,"BARINGO",98,8,25,33
120,"BARINGO",99,28,63,91
121,"BARINGO","95-99",135,261,396
122,"BARINGO","100+",60,117,177
123,"BARINGO","Not Stated",1,1,2
125,"BOMET","Total",420119,427576,847695
126,"BOMET",0,9576,9327,18903
127,"BOMET",1,10220,10056,20276
128,"BOMET",2,11130,10644,21774
129,"BOMET",3,11379,11433,22812
130,"BOMET",4,12285,11624,23909
131,"BOMET","0 - 4",54590,53084,107674
132,"BOMET",5,12154,11154,23308
133,"BOMET",6,11807,11497,23304
134,"BOMET",7,12426,12124,24550
135,"BOMET",8,11271,10979,22250
136,"BOMET",9,13383,13015,26398
137,"BOMET","5-9",61041,58769,119810
138,"BOMET",10,13057,12478,25535
139,"BOMET",11,12391,12620,25011
140,"BOMET",12,13486,13015,26501
141,"BOMET",13,13043,13414,26457
142,"BOMET",14,12718,12563,25281
143,"BOMET","10-14",64695,64090,128785
144,"BOMET",15,12985,12578,25563
145,"BOMET",16,11505,11371,22876
146,"BOMET",17,11233,10360,21593
147,"BOMET",18,8516,8032,16548
148,"BOMET",19,10757,10221,20978
149,"BOMET","15-19",54996,52562,107558
150,"BOMET",20,8028,8448,16476
151,"BOMET",21,7856,8792,16648
152,"BOMET",22,6969,7759,14728
153,"BOMET",23,7202,8431,15633
154,"BOMET",24,6345,7197,13542
155,"BOMET","20-24",36400,40627,77027
156,"BOMET",25,7061,7548,14609
157,"BOMET",26,5827,6621,12448
158,"BOMET",27,6113,7038,13151
159,"BOMET",28,4495,5394,9889
160,"BOMET",29,5393,6522,11915
161,"BOMET","25-29",28889,33123,62012
162,"BOMET",30,6147,7809,13956
163,"BOMET",31,4939,6267,11206
164,"BOMET",32,6064,7162,13226
165,"BOMET",33,5371,6471,11842
166,"BOMET",34,4743,5024,9767
167,"BOMET","30-34",27264,32733,59997
168,"BOMET",35,6102,5475,11577
169,"BOMET",36,3945,3000,6945
170,"BOMET",37,4376,3226,7602
171,"BOMET",38,2585,1970,4555
172,"BOMET",39,3703,2794,6497
173,"BOMET","35-39",20711,16465,37176
174,"BOMET",40,4187,3439,7626
175,"BOMET",41,4859,4538,9397
176,"BOMET",42,3461,3315,6776
177,"BOMET",43,3088,3226,6314
178,"BOMET",44,2285,2509,4794
179,"BOMET","40-44",17880,17027,34907
180,"BOMET",45,5215,4444,9659
181,"BOMET",46,3089,3167,6256
182,"BOMET",47,3350,3535,6885
183,"BOMET",48,1627,1693,3320
184,"BOMET",49,2478,2764,5242
185,"BOMET","45-49",15759,15603,31362
186,"BOMET",50,2561,2658,5219
187,"BOMET",51,2432,2367,4799
188,"BOMET",52,1529,1520,3049
189,"BOMET",53,1127,1182,2309
190,"BOMET",54,1471,1407,2878
191,"BOMET","50-54",9120,9134,18254
192,"BOMET",55,1247,1358,2605
193,"BOMET",56,1250,1324,2574
194,"BOMET",57,1540,1827,3367
195,"BOMET",58,2338,3231,5569
196,"BOMET",59,1904,1780,3684
197,"BOMET","55-59",8279,9520,17799
198,"BOMET",60,1872,2001,3873
199,"BOMET",61,1587,1611,3198
200,"BOMET",62,1179,1205,2384
201,"BOMET",63,1232,1322,2554
202,"BOMET",64,919,970,1889
203,"BOMET","60-64",6789,7109,13898
204,"BOMET",65,1415,1629,3044
205,"BOMET",66,833,794,1627
206,"BOMET",67,1293,1369,2662
207,"BOMET",68,530,618,1148
208,"BOMET",69,929,1099,2028
209,"BOMET","65-69",5000,5509,10509
210,"BOMET",70,1078,1414,2492
211,"BOMET",71,1086,956,2042
212,"BOMET",72,700,639,1339
213,"BOMET",73,596,640,1236
214,"BOMET",74,518,790,1308
215,"BOMET","70-74",3978,4439,8417
216,"BOMET",75,477,698,1175
217,"BOMET",76,353,475,828
218,"BOMET",77,485,565,1050
219,"BOMET",78,230,278,508
220,"BOMET",79,383,815,1198
221,"BOMET","75-79",1928,2831,4759
222,"BOMET",80,390,761,1151
223,"BOMET",81,221,467,688
224,"BOMET",82,212,243,455
225,"BOMET",83,234,269,503
226,"BOMET",84,246,445,691
227,"BOMET","80-84",1303,2185,3488
228,"BOMET",85,173,298,471
229,"BOMET",86,156,171,327
230,"BOMET",87,207,273,480
231,"BOMET",88,102,150,252
232,"BOMET",89,207,542,749
233,"BOMET","85-89",845,1434,2279
234,"BOMET",90,107,278,385
235,"BOMET",91,74,166,240
236,"BOMET",92,55,87,142
237,"BOMET",93,51,93,144
238,"BOMET",94,58,145,203
239,"BOMET","90-94",345,769,1114
240,"BOMET",95,102,116,218
241,"BOMET",96,34,36,70
242,"BOMET",97,42,40,82
243,"BOMET",98,20,41,61
244,"BOMET",99,34,127,161
245,"BOMET","95-99",232,360,592
246,"BOMET","100+",73,202,275
247,"BOMET","Not Stated",2,1,3
249,"BUNGOMA","Total",720235,760194,1480429
250,"BUNGOMA",0,17590,18022,35612
251,"BUNGOMA",1,18561,18690,37251
252,"BUNGOMA",2,19391,19437,38828
253,"BUNGOMA",3,20725,21206,41931
254,"BUNGOMA",4,21276,21062,42338
255,"BUNGOMA","0 - 4",97543,98417,195960
256,"BUNGOMA",5,23110,22433,45543
257,"BUNGOMA",6,22693,23131,45824
258,"BUNGOMA",7,22807,22704,45511
259,"BUNGOMA",8,21155,21633,42788
260,"BUNGOMA",9,25307,24745,50052
261,"BUNGOMA","5-9",115072,114646,229718
262,"BUNGOMA",10,24509,24498,49007
263,"BUNGOMA",11,23437,24067,47504
264,"BUNGOMA",12,24925,24305,49230
265,"BUNGOMA",13,25223,25694,50917
266,"BUNGOMA",14,23051,22755,45806
267,"BUNGOMA","10-14",121145,121319,242464
268,"BUNGOMA",15,23614,22915,46529
269,"BUNGOMA",16,20249,20290,40539
270,"BUNGOMA",17,21386,20482,41868
271,"BUNGOMA",18,15620,14462,30082
272,"BUNGOMA",19,17693,16689,34382
273,"BUNGOMA","15-19",98562,94838,193400
274,"BUNGOMA",20,13690,14469,28159
275,"BUNGOMA",21,12136,12850,24986
276,"BUNGOMA",22,10584,12165,22749
277,"BUNGOMA",23,11282,13035,24317
278,"BUNGOMA",24,9294,11024,20318
279,"BUNGOMA","20-24",56986,63543,120529
280,"BUNGOMA",25,10468,12509,22977
281,"BUNGOMA",26,8156,10058,18214
282,"BUNGOMA",27,9036,10535,19571
283,"BUNGOMA",28,6217,7620,13837
284,"BUNGOMA",29,7661,8901,16562
285,"BUNGOMA","25-29",41538,49623,91161
286,"BUNGOMA",30,8869,11323,20192
287,"BUNGOMA",31,7815,10278,18093
288,"BUNGOMA",32,9083,11339,20422
289,"BUNGOMA",33,7276,8854,16130
290,"BUNGOMA",34,6173,6734,12907
291,"BUNGOMA","30-34",39216,48528,87744
292,"BUNGOMA",35,8025,8014,16039
293,"BUNGOMA",36,6068,5939,12007
294,"BUNGOMA",37,6372,6069,12441
295,"BUNGOMA",38,4391,4640,9031
296,"BUNGOMA",39,5283,5385,10668
297,"BUNGOMA","35-39",30139,30047,60186
298,"BUNGOMA",40,5634,6124,11758
299,"BUNGOMA",41,6145,6945,13090
300,"BUNGOMA",42,5962,6667,12629
301,"BUNGOMA",43,5633,6258,11891
302,"BUNGOMA",44,3958,4362,8320
303,"BUNGOMA","40-44",27332,30356,57688
304,"BUNGOMA",45,6475,6340,12815
305,"BUNGOMA",46,4746,4856,9602
306,"BUNGOMA",47,5093,5180,10273
307,"BUNGOMA",48,3079,3389,6468
308,"BUNGOMA",49,3705,3771,7476
309,"BUNGOMA","45-49",23098,23536,46634
310,"BUNGOMA",50,4038,4821,8859
311,"BUNGOMA",51,3737,4325,8062
312,"BUNGOMA",52,3160,3574,6734
313,"BUNGOMA",53,2717,3472,6189
314,"BUNGOMA",54,2830,3410,6240
315,"BUNGOMA","50-54",16482,19602,36084
316,"BUNGOMA",55,3344,3784,7128
317,"BUNGOMA",56,3137,3738,6875
318,"BUNGOMA",57,3427,4605,8032
319,"BUNGOMA",58,2569,3017,5586
320,"BUNGOMA",59,3832,4025,7857
321,"BUNGOMA","55-59",16309,19169,35478
322,"BUNGOMA",60,3341,3566,6907
323,"BUNGOMA",61,2890,3301,6191
324,"BUNGOMA",62,2232,2528,4760
325,"BUNGOMA",63,2717,3197,5914
326,"BUNGOMA",64,1848,2227,4075
327,"BUNGOMA","60-64",13028,14819,27847
328,"BUNGOMA",65,2549,3119,5668
329,"BUNGOMA",66,1513,1929,3442
330,"BUNGOMA",67,2042,2728,4770
331,"BUNGOMA",68,1025,1258,2283
332,"BUNGOMA",69,1779,2035,3814
333,"BUNGOMA","65-69",8908,11069,19977
334,"BUNGOMA",70,1520,1967,3487
335,"BUNGOMA",71,1421,1906,3327
336,"BUNGOMA",72,1101,1357,2458
337,"BUNGOMA",73,1150,1551,2701
338,"BUNGOMA",74,955,1195,2150
339,"BUNGOMA","70-74",6147,7976,14123
340,"BUNGOMA",75,944,1309,2253
341,"BUNGOMA",76,752,1058,1810
342,"BUNGOMA",77,910,1567,2477
343,"BUNGOMA",78,591,672,1263
344,"BUNGOMA",79,553,829,1382
345,"BUNGOMA","75-79",3750,5435,9185
346,"BUNGOMA",80,739,1034,1773
347,"BUNGOMA",81,468,625,1093
348,"BUNGOMA",82,477,618,1095
349,"BUNGOMA",83,620,914,1534
350,"BUNGOMA",84,359,450,809
351,"BUNGOMA","80-84",2663,3641,6304
352,"BUNGOMA",85,421,594,1015
353,"BUNGOMA",86,231,383,614
354,"BUNGOMA",87,414,654,1068
355,"BUNGOMA",88,169,199,368
356,"BUNGOMA",89,284,498,782
357,"BUNGOMA","85-89",1519,2328,3847
358,"BUNGOMA",90,164,197,361
359,"BUNGOMA",91,160,226,386
360,"BUNGOMA",92,90,145,235
361,"BUNGOMA",93,62,143,205
362,"BUNGOMA",94,45,77,122
363,"BUNGOMA","90-94",521,788,1309
364,"BUNGOMA",95,109,156,265
365,"BUNGOMA",96,34,43,77
366,"BUNGOMA",97,57,131,188
367,"BUNGOMA",98,14,41,55
368,"BUNGOMA",99,24,56,80
369,"BUNGOMA","95-99",238,427,665
370,"BUNGOMA","100+",34,86,120
371,"BUNGOMA","Not Stated",5,1,6
373,"BUSIA","Total",371289,408611,779900
374,"BUSIA",0,8997,9276,18273
375,"BUSIA",1,9787,9875,19662
376,"BUSIA",2,9870,9756,19626
377,"BUSIA",3,10226,10539,20765
378,"BUSIA",4,10133,10219,20352
379,"BUSIA","0 - 4",49013,49665,98678
380,"BUSIA",5,10591,10805,21396
381,"BUSIA",6,11299,11607,22906
382,"BUSIA",7,11404,11574,22978
383,"BUSIA",8,10844,11287,22131
384,"BUSIA",9,11943,12227,24170
385,"BUSIA","5-9",56081,57500,113581
386,"BUSIA",10,12664,12508,25172
387,"BUSIA",11,11549,12209,23758
388,"BUSIA",12,13137,12968,26105
389,"BUSIA",13,12767,13021,25788
390,"BUSIA",14,12064,11977,24041
391,"BUSIA","10-14",62181,62683,124864
392,"BUSIA",15,11959,11862,23821
393,"BUSIA",16,11071,11210,22281
394,"BUSIA",17,11325,11007,22332
395,"BUSIA",18,9298,8637,17935
396,"BUSIA",19,9339,9147,18486
397,"BUSIA","15-19",52992,51863,104855
398,"BUSIA",20,8069,8370,16439
399,"BUSIA",21,6272,6784,13056
400,"BUSIA",22,5779,6841,12620
401,"BUSIA",23,5376,6546,11922
402,"BUSIA",24,4815,5882,10697
403,"BUSIA","20-24",30311,34423,64734
404,"BUSIA",25,5052,6354,11406
405,"BUSIA",26,4205,5617,9822
406,"BUSIA",27,4362,5497,9859
407,"BUSIA",28,3410,4653,8063
408,"BUSIA",29,3489,4466,7955
409,"BUSIA","25-29",20518,26587,47105
410,"BUSIA",30,4370,6313,10683
411,"BUSIA",31,3467,4675,8142
412,"BUSIA",32,4409,5953,10362
413,"BUSIA",33,3651,4843,8494
414,"BUSIA",34,3266,4085,7351
415,"BUSIA","30-34",19163,25869,45032
416,"BUSIA",35,4114,4470,8584
417,"BUSIA",36,3184,3253,6437
418,"BUSIA",37,3324,3334,6658
419,"BUSIA",38,2339,2569,4908
420,"BUSIA",39,2750,2824,5574
421,"BUSIA","35-39",15711,16450,32161
422,"BUSIA",40,3247,3797,7044
423,"BUSIA",41,2952,3484,6436
424,"BUSIA",42,3098,3577,6675
425,"BUSIA",43,2843,3128,5971
426,"BUSIA",44,2183,2407,4590
427,"BUSIA","40-44",14323,16393,30716
428,"BUSIA",45,3061,3485,6546
429,"BUSIA",46,2152,2382,4534
430,"BUSIA",47,2399,2780,5179
431,"BUSIA",48,1564,1881,3445
432,"BUSIA",49,1749,2099,3848
433,"BUSIA","45-49",10925,12627,23552
434,"BUSIA",50,2428,3542,5970
435,"BUSIA",51,2062,2773,4835
436,"BUSIA",52,1648,2142,3790
437,"BUSIA",53,1498,1929,3427
438,"BUSIA",54,1532,1895,3427
439,"BUSIA","50-54",9168,12281,21449
440,"BUSIA",55,1708,2095,3803
441,"BUSIA",56,1733,2118,3851
442,"BUSIA",57,1862,3057,4919
443,"BUSIA",58,1449,1928,3377
444,"BUSIA",59,1835,2367,4202
445,"BUSIA","55-59",8587,11565,20152
446,"BUSIA",60,2007,2638,4645
447,"BUSIA",61,1615,1978,3593
448,"BUSIA",62,1269,1637,2906
449,"BUSIA",63,1317,1662,2979
450,"BUSIA",64,1047,1521,2568
451,"BUSIA","60-64",7255,9436,16691
452,"BUSIA",65,1374,1932,3306
453,"BUSIA",66,943,1209,2152
454,"BUSIA",67,1366,1881,3247
455,"BUSIA",68,627,764,1391
456,"BUSIA",69,975,1390,2365
457,"BUSIA","65-69",5285,7176,12461
458,"BUSIA",70,1235,2009,3244
459,"BUSIA",71,966,1158,2124
460,"BUSIA",72,737,834,1571
461,"BUSIA",73,616,751,1367
462,"BUSIA",74,627,927,1554
463,"BUSIA","70-74",4181,5679,9860
464,"BUSIA",75,581,866,1447
465,"BUSIA",76,466,560,1026
466,"BUSIA",77,624,828,1452
467,"BUSIA",78,303,386,689
468,"BUSIA",79,419,800,1219
469,"BUSIA","75-79",2393,3440,5833
470,"BUSIA",80,474,845,1319
471,"BUSIA",81,347,465,812
472,"BUSIA",82,271,327,598
473,"BUSIA",83,341,383,724
474,"BUSIA",84,259,437,696
475,"BUSIA","80-84",1692,2457,4149
476,"BUSIA",85,197,355,552
477,"BUSIA",86,249,263,512
478,"BUSIA",87,251,400,651
479,"BUSIA",88,126,152,278
480,"BUSIA",89,189,436,625
481,"BUSIA","85-89",1012,1606,2618
482,"BUSIA",90,90,215,305
483,"BUSIA",91,99,120,219
484,"BUSIA",92,48,63,111
485,"BUSIA",93,55,62,117
486,"BUSIA",94,38,107,145
487,"BUSIA","90-94",330,567,897
488,"BUSIA",95,42,76,118
489,"BUSIA",96,25,33,58
490,"BUSIA",97,45,47,92
491,"BUSIA",98,8,34,42
492,"BUSIA",99,15,55,70
493,"BUSIA","95-99",135,245,380
494,"BUSIA","100+",29,98,127
495,"BUSIA","Not Stated",4,1,5
497,"ELGEYO/MARAKWET","Total",217344,216548,433892
498,"ELGEYO/MARAKWET",0,5401,5427,10828
499,"ELGEYO/MARAKWET",1,5606,5390,10996
500,"ELGEYO/MARAKWET",2,5683,5617,11300
501,"ELGEYO/MARAKWET",3,6106,6192,12298
502,"ELGEYO/MARAKWET",4,6504,6457,12961
503,"ELGEYO/MARAKWET","0 - 4",29300,29083,58383
504,"ELGEYO/MARAKWET",5,6434,6266,12700
505,"ELGEYO/MARAKWET",6,6476,6380,12856
506,"ELGEYO/MARAKWET",7,6391,6241,12632
507,"ELGEYO/MARAKWET",8,5722,5618,11340
508,"ELGEYO/MARAKWET",9,6651,6308,12959
509,"ELGEYO/MARAKWET","5-9",31674,30813,62487
510,"ELGEYO/MARAKWET",10,6635,6379,13014
511,"ELGEYO/MARAKWET",11,5869,6045,11914
512,"ELGEYO/MARAKWET",12,6733,6515,13248
513,"ELGEYO/MARAKWET",13,6381,6489,12870
514,"ELGEYO/MARAKWET",14,6290,6090,12380
515,"ELGEYO/MARAKWET","10-14",31908,31518,63426
516,"ELGEYO/MARAKWET",15,6221,6015,12236
517,"ELGEYO/MARAKWET",16,5605,5546,11151
518,"ELGEYO/MARAKWET",17,5695,5310,11005
519,"ELGEYO/MARAKWET",18,4299,4089,8388
520,"ELGEYO/MARAKWET",19,5328,5013,10341
521,"ELGEYO/MARAKWET","15-19",27148,25973,53121
522,"ELGEYO/MARAKWET",20,4756,4523,9279
523,"ELGEYO/MARAKWET",21,4280,4126,8406
524,"ELGEYO/MARAKWET",22,3898,3808,7706
525,"ELGEYO/MARAKWET",23,3862,3924,7786
526,"ELGEYO/MARAKWET",24,3405,3534,6939
527,"ELGEYO/MARAKWET","20-24",20201,19915,40116
528,"ELGEYO/MARAKWET",25,3947,3926,7873
529,"ELGEYO/MARAKWET",26,2961,3146,6107
530,"ELGEYO/MARAKWET",27,3134,3159,6293
531,"ELGEYO/MARAKWET",28,2281,2372,4653
532,"ELGEYO/MARAKWET",29,2754,2798,5552
533,"ELGEYO/MARAKWET","25-29",15077,15401,30478
534,"ELGEYO/MARAKWET",30,3157,3391,6548
535,"ELGEYO/MARAKWET",31,2342,2468,4810
536,"ELGEYO/MARAKWET",32,2867,3121,5988
537,"ELGEYO/MARAKWET",33,2468,2729,5197
538,"ELGEYO/MARAKWET",34,2094,2332,4426
539,"ELGEYO/MARAKWET","30-34",12928,14041,26969
540,"ELGEYO/MARAKWET",35,3308,3136,6444
541,"ELGEYO/MARAKWET",36,1878,1606,3484
542,"ELGEYO/MARAKWET",37,2026,1717,3743
543,"ELGEYO/MARAKWET",38,1222,1130,2352
544,"ELGEYO/MARAKWET",39,1724,1644,3368
545,"ELGEYO/MARAKWET","35-39",10158,9233,19391
546,"ELGEYO/MARAKWET",40,2058,1771,3829
547,"ELGEYO/MARAKWET",41,2049,1942,3991
548,"ELGEYO/MARAKWET",42,1956,1845,3801
549,"ELGEYO/MARAKWET",43,1685,1663,3348
550,"ELGEYO/MARAKWET",44,1117,1198,2315
551,"ELGEYO/MARAKWET","40-44",8865,8419,17284
552,"ELGEYO/MARAKWET",45,2914,2632,5546
553,"ELGEYO/MARAKWET",46,1492,1504,2996
554,"ELGEYO/MARAKWET",47,1583,1575,3158
555,"ELGEYO/MARAKWET",48,798,845,1643
556,"ELGEYO/MARAKWET",49,1129,1180,2309
557,"ELGEYO/MARAKWET","45-49",7916,7736,15652
558,"ELGEYO/MARAKWET",50,1386,1472,2858
559,"ELGEYO/MARAKWET",51,1005,1083,2088
560,"ELGEYO/MARAKWET",52,835,875,1710
561,"ELGEYO/MARAKWET",53,599,651,1250
562,"ELGEYO/MARAKWET",54,1027,969,1996
563,"ELGEYO/MARAKWET","50-54",4852,5050,9902
564,"ELGEYO/MARAKWET",55,967,840,1807
565,"ELGEYO/MARAKWET",56,900,997,1897
566,"ELGEYO/MARAKWET",57,904,1117,2021
567,"ELGEYO/MARAKWET",58,1058,1179,2237
568,"ELGEYO/MARAKWET",59,1054,951,2005
569,"ELGEYO/MARAKWET","55-59",4883,5084,9967
570,"ELGEYO/MARAKWET",60,1186,1199,2385
571,"ELGEYO/MARAKWET",61,944,919,1863
572,"ELGEYO/MARAKWET",62,617,585,1202
573,"ELGEYO/MARAKWET",63,663,769,1432
574,"ELGEYO/MARAKWET",64,457,489,946
575,"ELGEYO/MARAKWET","60-64",3867,3961,7828
576,"ELGEYO/MARAKWET",65,932,940,1872
577,"ELGEYO/MARAKWET",66,403,403,806
578,"ELGEYO/MARAKWET",67,838,788,1626
579,"ELGEYO/MARAKWET",68,373,352,725
580,"ELGEYO/MARAKWET",69,719,766,1485
581,"ELGEYO/MARAKWET","65-69",3265,3249,6514
582,"ELGEYO/MARAKWET",70,741,922,1663
583,"ELGEYO/MARAKWET",71,572,669,1241
584,"ELGEYO/MARAKWET",72,379,382,761
585,"ELGEYO/MARAKWET",73,336,388,724
586,"ELGEYO/MARAKWET",74,341,444,785
587,"ELGEYO/MARAKWET","70-74",2369,2805,5174
588,"ELGEYO/MARAKWET",75,366,446,812
589,"ELGEYO/MARAKWET",76,285,308,593
590,"ELGEYO/MARAKWET",77,247,309,556
591,"ELGEYO/MARAKWET",78,143,145,288
592,"ELGEYO/MARAKWET",79,264,488,752
593,"ELGEYO/MARAKWET","75-79",1305,1696,3001
594,"ELGEYO/MARAKWET",80,272,445,717
595,"ELGEYO/MARAKWET",81,153,275,428
596,"ELGEYO/MARAKWET",82,83,136,219
597,"ELGEYO/MARAKWET",83,146,205,351
598,"ELGEYO/MARAKWET",84,133,201,334
599,"ELGEYO/MARAKWET","80-84",787,1262,2049
600,"ELGEYO/MARAKWET",85,95,152,247
601,"ELGEYO/MARAKWET",86,74,68,142
602,"ELGEYO/MARAKWET",87,90,109,199
603,"ELGEYO/MARAKWET",88,52,68,120
604,"ELGEYO/MARAKWET",89,164,272,436
605,"ELGEYO/MARAKWET","85-89",475,669,1144
606,"ELGEYO/MARAKWET",90,72,140,212
607,"ELGEYO/MARAKWET",91,42,67,109
608,"ELGEYO/MARAKWET",92,16,39,55
609,"ELGEYO/MARAKWET",93,34,38,72
610,"ELGEYO/MARAKWET",94,30,46,76
611,"ELGEYO/MARAKWET","90-94",194,330,524
612,"ELGEYO/MARAKWET",95,60,80,140
613,"ELGEYO/MARAKWET",96,12,20,32
614,"ELGEYO/MARAKWET",97,13,20,33
615,"ELGEYO/MARAKWET",98,13,18,31
616,"ELGEYO/MARAKWET",99,31,62,93
617,"ELGEYO/MARAKWET","95-99",129,200,329
618,"ELGEYO/MARAKWET","100+",43,109,152
619,"ELGEYO/MARAKWET","Not Stated","-",1,1
621,"EMBU","Total",267126,265534,532660
622,"EMBU",0,4831,4847,9678
623,"EMBU",1,5693,5384,11077
624,"EMBU",2,5332,5307,10639
625,"EMBU",3,5644,5436,11080
626,"EMBU",4,5514,5347,10861
627,"EMBU","0 - 4",27014,26321,53335
628,"EMBU",5,5384,5096,10480
629,"EMBU",6,5201,5328,10529
630,"EMBU",7,5457,5406,10863
631,"EMBU",8,5511,5295,10806
632,"EMBU",9,5992,5892,11884
633,"EMBU","5-9",27545,27017,54562
634,"EMBU",10,5966,5834,11800
635,"EMBU",11,5809,5874,11683
636,"EMBU",12,6647,6230,12877
637,"EMBU",13,6703,6567,13270
638,"EMBU",14,6429,6079,12508
639,"EMBU","10-14",31554,30584,62138
640,"EMBU",15,6292,6145,12437
641,"EMBU",16,6349,6095,12444
642,"EMBU",17,6351,5764,12115
643,"EMBU",18,5269,4750,10019
644,"EMBU",19,5453,4766,10219
645,"EMBU","15-19",29714,27520,57234
646,"EMBU",20,5150,4663,9813
647,"EMBU",21,4366,3966,8332
648,"EMBU",22,4373,4152,8525
649,"EMBU",23,4395,4272,8667
650,"EMBU",24,3999,3610,7609
651,"EMBU","20-24",22283,20663,42946
652,"EMBU",25,4215,3767,7982
653,"EMBU",26,3453,3275,6728
654,"EMBU",27,3800,3419,7219
655,"EMBU",28,3416,3179,6595
656,"EMBU",29,3779,3701,7480
657,"EMBU","25-29",18663,17341,36004
658,"EMBU",30,4605,4474,9079
659,"EMBU",31,3351,3263,6614
660,"EMBU",32,4079,4260,8339
661,"EMBU",33,3904,3938,7842
662,"EMBU",34,3344,3486,6830
663,"EMBU","30-34",19283,19421,38704
