"No","COUNTY","Age","Male","Female","Total"
4362,"SAMBURU",17,3253,2239,5492
4363,"SAMBURU",18,3466,2759,6225
4364,"SAMBURU",19,2586,2127,4713
4365,"SAMBURU","15-19",17254,13471,30725
4366,"SAMBURU",20,3975,3633,7608
4367,"SAMBURU",21,1924,2082,4006
4368,"SAMBURU",22,2076,2147,4223
4369,"SAMBURU",23,2041,2334,4375
4370,"SAMBURU",24,1754,1749,3503
4371,"SAMBURU","20-24",11770,11945,23715
4372,"SAMBURU",25,2762,2823,5585
4373,"SAMBURU",26,1443,1787,3230
4374,"SAMBURU",27,1369,1696,3065
4375,"SAMBURU",28,1435,1460,2895
4376,"SAMBURU",29,1550,1588,3138
4377,"SAMBURU","25-29",8559,9354,17913
4378,"SAMBURU",30,2808,2703,5511
4379,"SAMBURU",31,947,1255,2202
4380,"SAMBURU",32,1225,1577,2802
4381,"SAMBURU",33,880,1263,2143
4382,"SAMBURU",34,661,792,1453
4383,"SAMBURU","30-34",6521,7590,14111
4384,"SAMBURU",35,1800,1996,3796
4385,"SAMBURU",36,628,854,1482
4386,"SAMBURU",37,549,487,1036
4387,"SAMBURU",38,485,440,925
4388,"SAMBURU",39,549,520,1069
4389,"SAMBURU","35-39",4011,4297,8308
4390,"SAMBURU",40,1658,1279,2937
4391,"SAMBURU",41,850,802,1652
4392,"SAMBURU",42,779,757,1536
4393,"SAMBURU",43,584,610,1194
4394,"SAMBURU",44,344,324,668
4395,"SAMBURU","40-44",4215,3772,7987
4396,"SAMBURU",45,1189,1111,2300
4397,"SAMBURU",46,598,778,1376
4398,"SAMBURU",47,625,692,1317
4399,"SAMBURU",48,397,484,881
4400,"SAMBURU",49,475,500,975
4401,"SAMBURU","45-49",3284,3565,6849
4402,"SAMBURU",50,977,1040,2017
4403,"SAMBURU",51,281,407,688
4404,"SAMBURU",52,297,366,663
4405,"SAMBURU",53,203,232,435
4406,"SAMBURU",54,334,341,675
4407,"SAMBURU","50-54",2092,2386,4478
4408,"SAMBURU",55,461,425,886
4409,"SAMBURU",56,345,305,650
4410,"SAMBURU",57,237,284,521
4411,"SAMBURU",58,270,236,506
4412,"SAMBURU",59,418,536,954
4413,"SAMBURU","55-59",1731,1786,3517
4414,"SAMBURU",60,898,893,1791
4415,"SAMBURU",61,312,339,651
4416,"SAMBURU",62,266,319,585
4417,"SAMBURU",63,270,349,619
4418,"SAMBURU",64,167,244,411
4419,"SAMBURU","60-64",1913,2144,4057
4420,"SAMBURU",65,393,463,856
4421,"SAMBURU",66,118,128,246
4422,"SAMBURU",67,176,248,424
4423,"SAMBURU",68,167,177,344
4424,"SAMBURU",69,222,348,570
4425,"SAMBURU","65-69",1076,1364,2440
4426,"SAMBURU",70,581,656,1237
4427,"SAMBURU",71,239,313,552
4428,"SAMBURU",72,139,136,275
4429,"SAMBURU",73,127,139,266
4430,"SAMBURU",74,126,139,265
4431,"SAMBURU","70-74",1212,1383,2595
4432,"SAMBURU",75,244,207,451
4433,"SAMBURU",76,62,78,140
4434,"SAMBURU",77,77,76,153
4435,"SAMBURU",78,60,77,137
4436,"SAMBURU",79,166,219,385
4437,"SAMBURU","75-79",609,657,1266
4438,"SAMBURU",80,225,305,530
4439,"SAMBURU",81,87,89,176
4440,"SAMBURU",82,47,57,104
4441,"SAMBURU",83,48,75,123
4442,"SAMBURU",84,51,59,110
4443,"SAMBURU","80-84",458,585,1043
4444,"SAMBURU",85,43,68,111
4445,"SAMBURU",86,22,28,50
4446,"SAMBURU",87,31,41,72
4447,"SAMBURU",88,23,23,46
4448,"SAMBURU",89,87,104,191
4449,"SAMBURU","85-89",206,264,470
4450,"SAMBURU",90,54,79,133
4451,"SAMBURU",91,15,18,33
4452,"SAMBURU",92,8,4,12
4453,"SAMBURU",93,13,13,26
4454,"SAMBURU",94,10,9,19
4455,"SAMBURU","90-94",100,123,223
4456,"SAMBURU",95,24,26,50
4457,"SAMBURU",96,10,7,17
4458,"SAMBURU",97,4,5,9
4459,"SAMBURU",98,7,5,12
4460,"SAMBURU",99,12,18,30
4461,"SAMBURU","95-99",57,61,118
4462,"SAMBURU","100+",25,20,45
4463,"SAMBURU","Not Stated",1,1,2
4465,"SIAYA","Total",431450,476301,907751
4466,"SIAYA",0,10481,10607,21088
4467,"SIAYA",1,10563,10473,21036
4468,"SIAYA",2,10640,10812,21452
4469,"SIAYA",3,11745,11713,23458
4470,"SIAYA",4,11955,11671,23626
4471,"SIAYA","0 - 4",55384,55276,110660
4472,"SIAYA",5,12508,11960,24468
4473,"SIAYA",6,13084,12990,26074
4474,"SIAYA",7,12600,12823,25423
4475,"SIAYA",8,11947,12444,24391
4476,"SIAYA",9,13636,13542,27178
4477,"SIAYA","5-9",63775,63759,127534
4478,"SIAYA",10,14576,14040,28616
4479,"SIAYA",11,13314,13442,26756
4480,"SIAYA",12,15155,14702,29857
4481,"SIAYA",13,14690,14450,29140
4482,"SIAYA",14,13227,12834,26061
4483,"SIAYA","10-14",70962,69468,140430
4484,"SIAYA",15,13082,12436,25518
4485,"SIAYA",16,11581,11336,22917
4486,"SIAYA",17,11784,10933,22717
4487,"SIAYA",18,9157,8784,17941
4488,"SIAYA",19,9456,9325,18781
4489,"SIAYA","15-19",55060,52814,107874
4490,"SIAYA",20,8080,8603,16683
4491,"SIAYA",21,6762,7412,14174
4492,"SIAYA",22,6052,7227,13279
4493,"SIAYA",23,5915,7479,13394
4494,"SIAYA",24,5357,6758,12115
4495,"SIAYA","20-24",32166,37479,69645
4496,"SIAYA",25,5955,7417,13372
4497,"SIAYA",26,4984,6741,11725
